SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
2489		0.191	0.158	0.18	0.367	0.049
2490		-0.118	0.019	-0.077	-0.171	-0.184
2491	ASB12	-0.552	-0.882	0.098	0.818	-0.618
2492	HEMGN	0.082	-0.043	0.037	0.163	-0.329
2493	GCSH	0.161	0.17	0.015	0.163	-0.042
2494	FLJ21347	0.235	0.112	0.132	-0.432	-0.032
2495		-0.263	-0.341	-0.118	-0.289	-0.06
2496	FLJ20312	1.021	1.058	0.988	0.965	1.08
2497		-0.205	-0.524	0.018	-0.345	-0.081
2498		-0.526	-0.489	0.264	0.154	-0.1
2499		0.031	-0.151	-0.084	-0.011	-0.012
2500	DKFZP564K0322	-0.163	-0.362	-0.076	-0.138	0.012
2501		-0.573	-0.472	-0.126	-0.279	-0.196
2502		-0.244	-0.372	-0.143	-0.233	-0.025
2503	ROK1	0.193	0.118	0.245	0.373	-0.017
2504	ARAF1	0.313	0.156	0.143	-0.191	0.29
2505	GC1	-0.008	-0.012	0.012	-0.224	-0.125
2506		0.036	0.19	0.017	-0.199	-0.125
2507	FLJ23189	-0.125	-0.045	0.078	0.096	0.082
2508		0.079	-0.223	0.087	0.086	-0.105
2509	KIAA1237	0.38	0.539	0.638	0.148	0.024
2510	Ells1	0.043	-0.165	0.108	-0.07	-0.173
2511	C7orf2	0.142	0.092	0.036	-0.042	-0.154
2512	MAPRE2	-0.086	-0.181	-0.036	-0.187	-0.038
2513		0.052	-0.363	-0.016	-0.048	-0.312
2514	SSX2	0.119	0.1	0.156	0.065	0.005
2515		0.385	0.435	0.369	0.111	0.108
2516	DIP13B	0.079	0.039	0.001	0.138	0.137
2517	KIAA0494	0.175	0.179	0.084	0.359	-0.053
2518		-0.676	-0.596	-0.568	0.046	-0.265
2519	PELI1	0.145	0.045	0.318	0.576	0.137
2520	EIF2S2	-0.146	0.079	0.145	0.559	-0.066
2521	HLA-DRB3	-0.261	-0.278	0.103	0.005	-0.314
2522	HLA-DOA	-0.033	-0.215	0.499	1.259	0.533
2523	MSTP9	-0.053	-0.193	0.283	0.414	0.579
2524	RPL10	0.129	-0.032	-0.086	-0.038	0.247
2525	CD14	-0.422	-0.413	0.05	0.019	-0.488
2526	KNSL5	-0.185	0.288	-0.269	-0.099	-0.793
2527	INSM1	-0.139	0.1	0.183	0.212	0.396
2528	IGF2	-0.275	-0.301	-0.126	-0.058	-0.049
2529	ITPR3	0.095	0.292	0.271	0.171	0.55
2530	CD79B	-0.302	-0.41	0.152	-0.114	0.044
2531	TFF3	-0.242	-0.207	1.482	0.851	0.682
2532	IFIT2	-0.084	0.002	-0.198	-0.512	-0.746
2533	PIAS1	0.155	0.107	-0.258	0.007	-0.209
2534	ARL3	0.066	0.318	0.106	-0.091	-0.188
2535	FUBP1	0.304	0.578	0.353	0.069	-0.082
2536	UBE2D2	0.073	0.356	0.39	0.47	-0.037
2537	NME3	0.163	0.047	-0.062	-0.193	-0.035
2538	PRKDC	0.094	0.155	0.059	0.064	-0.536
2539	MAPK13	0.305	0.654	0.094	0.025	0.114
2540	RGS13	-0.637	-0.324	-0.299	-0.158	-0.198
2541	BUB1	0.091	0.161	-0.292	-0.052	-0.531
2542	DNMT2	0.364	0.334	0.12	0.367	0.084
2543	PPEF1	-0.865	-0.659	-0.229	-0.042	-0.128
2544	PPP2R5B	0.012	0.036	-0.072	0.028	-0.099
2545	FOSL1	0.197	0.242	0.095	0.215	-0.057
2546	ERCC2	0.221	0.221	0.255	0.301	-0.032
2547	EIF2S1	0.057	0.169	0.095	0.33	-0.043
2548	EDN1	0.399	0.471	0.026	0.343	-0.689
2549	EGR2	0.11	-0.002	-0.036	0.137	0.013
2550	EGR3	0.107	0.05	-0.067	0.123	0.161
2551	C4A	0.487	0.507	1.133	1.37	1.362
2552	SERPING1	0.019	-0.059	0.102	-0.024	0.148
2553	CRMP1	-0.602	-0.552	-0.589	-0.274	-0.227
2554	COL4A1	-0.601	-0.428	-0.221	-0.303	-0.168
2555	CSTF3	0.451	0.29	0.183	0.047	0.181
2556	CLTB	0.122	0.113	0.013	0.229	-0.281
2557	FBXL2	0.011	-0.089	0.2	0.128	0.196
2558	KIAA1391	-0.492	-0.293	-0.212	0.073	0.132
2559		-0.099	-0.079	0.028	0.003	0.136
2560	DKFZP586B1621	0.05	-0.177	-0.266	-0.343	-0.018
2561		0.008	-0.304	-0.269	-0.074	-0.007
2562	FLJ10895	0.584	0.397	0.605	0.21	0.562
2563		-0.085	-0.282	0.092	0.065	0.104
2564		-0.141	-0.161	-0.148	-0.046	-0.089
2565		-0.174	-0.074	0.128	0.058	-0.079
2566		0.098	-0.142	0.064	0.161	0.091
2567		-0.271	-0.195	-0.054	0.183	0.072
2568	HNK-1ST	-0.055	0.191	0.122	0.13	0.053
2569		-1.696	-1.735	-1.255	-1.414	-1.301
2570	TLE3	-0.083	-0.255	-0.381	-0.71	-0.641
2571	CXCL1	-0.852	0.005	1.931	0.78	1.507
2572	F8A	-0.282	-0.419	-1.012	-0.729	-0.461
2573		-1.002	-0.567	-0.629	-0.616	-0.38
2574	COG1	-0.22	-0.391	-0.469	-0.713	-0.362
2575	C1orf16	0.226	-0.255	-0.222	-0.623	0.044
2576	ILF3	0.175	0.265	-0.139	-0.38	-0.34
2577		-2.066	-1.878	-1.522	-1.619	-1.268
2578	WBSCR20C	-0.062	-0.28	-0.58	-0.786	-0.459
2579	DKFZp434D1428	0.03	-0.556	-0.387	-0.796	-0.213
2580		-0.211	-0.919	-0.965	-0.759	-0.545
2581		-1.564	-1.55	-1.073	-0.966	-0.769
2582		-1.468	-1.098	-1.126	-0.888	-0.856
2583		-1.129	-1.105	-0.959	-0.887	-0.624
2584		-1.441	-1.023	-1.056	-0.914	-0.793
2585	C1orf17	-1.138	-1.029	-0.838	-0.728	-0.668
2586	KIAA0555	-1.226	-1.215	-1.11	-1.234	-1.027
2587	PIASX-BETA	-0.825	-0.771	-0.674	-0.689	-0.421
2588	KIAA0701	-0.454	-0.252	-0.39	-0.248	-0.545
2589	DKFZp762A2013	0.115	0.039	-0.202	-0.534	-0.245
2590	MCPR	0.042	0.26	0.119	-0.397	-0.73
2591	PPFIA2	-2.619	-1.71	-1.572	-2.199	-1.477
2592	SLC39A3	-0.65	-0.93	-0.969	-1.907	-0.968
2593	HNRPDL	0.138	0.148	0.064	-0.111	-0.408
2594	PISD	0.192	0.152	0.17	0.017	-0.105
2595	KIAA0397	0.072	-0.12	-0.341	-0.233	0.064
2596	CASK	0.226	0.173	0.129	0.351	0.023
2597	H3F3A	0.104	0.22	0.191	0.465	-0.306
2598	RNP24	0.47	0.329	0.388	0.609	0.018
2599	SDF2L1	0.174	0.294	0.109	0.161	-0.037
2600	KIAA1437	0.564	0.268	1.051	0.264	1.265
2601	LOC55862	-0.002	-0.049	-0.369	-0.215	-0.72
2602	ARHI	-0.003	-0.354	-0.348	-0.258	-0.369
2603	MGC39708	0.128	-0.065	0.338	0.17	0.517
2604	LOC219790	0.054	0.118	0.131	0.29	0.269
2605	PMP2	-0.299	-0.542	-0.281	-0.311	0.009
2606		0.22	0.42	0.419	0.961	0.922
2607	LRIG1	-0.207	-0.101	-0.024	-0.189	-0.195
2608	RBM14	0.032	-0.03	0.032	0.221	-0.24
2609	PCBP2	0.38	0.568	0.385	0.356	0.329
2610		0.124	0.024	0.027	0.099	0.171
2611	SMPX	-0.119	-0.429	-0.186	-0.289	-0.357
2612	FARP1	-0.022	0.072	0.142	0.244	-0.161
2613	UCK1	-0.077	0.271	-0.265	-0.366	-0.342
2614	GRINL1A	0.153	0.204	0.08	0.367	-0.044
2615	BIRC6	0.413	0.366	0.182	0.104	0.27
2616		-0.06	0.4	0.172	-0.11	-0.33
2617		0.098	0.111	0.356	0.345	0.366
2618	DKFZp547J144	-0.105	-0.085	0.077	0.092	0.086
2619	EEF1A1	-0.635	-0.407	0.011	-0.079	-0.039
2620		0.049	0.455	0.302	0.387	-0.155
2621	HSPC232	0.532	0.185	0.291	0.533	0.254
2622		0.165	0.309	0.209	0.151	0.157
2623	DKFZP564K1964	0.094	-0.005	-0.153	0.027	-0.214
2624		0.288	0.234	0.147	-0.022	0.025
2625	CBFA2T2	0.117	0.042	-0.163	-0.174	0.104
2626	COPEB	0.002	0.407	1.701	1.89	1.307
2627	MRPL37	0.252	0.488	0.063	0.09	-0.203
2628	DKFZP434K046	0.196	-0.097	-0.233	-0.119	-0.039
2629	LOC136319	0.119	0.357	0.278	0.655	0.16
2630	FLJ10036	0.254	0.389	0.519	0.547	-0.141
2631	NTRK2	-0.226	0.042	0.007	0.232	-0.072
2632		0.157	0.205	0.134	0.155	-0.258
2633	VEZATIN	0.293	0.09	0.252	0.404	0.475
2634		0.22	0.243	0.093	-0.09	-0.033
2635	LOC51122	-0.031	0.063	0.832	0.311	0.1
2636	UGCG	0.276	0.318	0.963	0.602	0.269
2637	DAB2	-0.056	0.006	-0.853	-0.897	-1.193
2638		0.099	0.234	0.381	0.394	0.239
2639		0.412	0.576	1.361	1.498	1.108
2640	SLC38A2	0.338	0.305	0.861	1.415	1.11
2641	AGPS	0.693	0.95	0.691	0.528	0.59
2642		-0.036	0.61	-0.203	-0.283	-0.437
2643		0.003	0.079	-0.224	-0.129	-0.484
2644	FLJ21168	0.004	-0.093	-0.025	0.032	-0.006
2645		-0.029	-0.178	0.114	0.041	0.136
2646		-0.411	-0.265	0.099	0.432	0.231
2647	HEBP1	0.814		3.775	4.281	
2648		-0.306	-0.044	0.118	0.026	-0.431
2649	FLJ12994	-0.603	0.573	-0.589	1.115	-1.031
2650	GIT2	-0.103	0.558	2.181	1.548	0
2651		-0.759	-0.947	-0.983	-0.949	-0.376
2652		-0.106	-0.328	2.287	1.159	0.059
2653		-0.877	-0.687	-0.335	-0.805	-0.362
2654	NQO2	-0.066	-0.208	-0.414	-0.111	-0.105
2655	FCGR2B	0.537	0.046	0.342	0.498	0.42
2656	MRPS28	-0.025	0.342	0.264	0.031	-0.372
2657		0.294	-0.069	1.006	1.997	0.158
2658	FLJ20094	0.605	0.668	0.581	0.889	0.256
2659		-0.755	-0.823	-0.179	-0.7	-0.657
2660	FLJ22531	-0.047	0.124	-0.236	-0.244	-0.092
2661		-0.358	0.181	0.587	0.731	-0.571
2662		-0.403	-0.424	0.579	1.033	-0.802
2663	SPG4	0.808	0.758	0.752	0.856	0.545
2664		-0.558	-0.579	0.009	-0.138	-0.113
2665		-0.316	-0.326	0.008	0.103	0.038
2666	KCNMB3	-0.046	-0.071	1.111	1.269	0.118
2667		-0.361	-0.246	-0.386	-0.372	-0.107
2668	MGC20533	0.212	0.319	0.016	-0.06	-0.142
2669	C1orf19	0.312	0.268	0.038	0.361	0.195
2670		-0.221	-0.166	0.06	-0.032	-0.001
2671		0.061	-0.163	-0.005	0.123	-0.004
2672		0.081	0.013	-0.047	0.257	-0.133
2673		-0.475	-0.312	-0.151	-0.236	-0.102
2674		0.153	0.084	0.137	0.613	0.415
2675		-0.324	-0.169	0.393	0.463	-0.136
2676		0.463	0.302	0.17	0.389	0.196
2677		-0.584	-0.235	0.174	-0.13	-0.244
2678		0.114	-0.237	-0.307	-0.105	-0.304
2679		-0.538	-0.538	-0.043	-0.212	-0.202
2680		-0.288	-0.236	-0.327	-0.401	-0.323
2681	ALLC	-0.844	-0.524	-0.154	-0.481	-0.273
2682		-0.872	-0.706	-0.353	-0.226	-0.309
2683	KRAS2	-0.012	0.081	-0.095	-0.073	-0.327
2684		-0.767	-0.633	0.238	-0.41	-0.387
2685	TAF4B	-0.062	-0.045	0.422	0.032	-0.153
2686		-1.225	-0.344	0.155	-0.585	-0.379
2687		-0.687	-0.254	1.002	0.478	-0.391
2688		-0.626	-0.661	-0.167	-0.182	-0.142
2689	FLJ31951	-0.655	-0.703	0.842	0.034	-0.197
2690		0.048	0.016	-0.083	0.073	-0.184
2691	FLJ20624	0.154	0.452	0.051	0.095	-0.221
2692	KIAA0595	0.194	0.196	0.027	-0.476	-0.405
2693		-0.86	-0.66	-0.475	-0.429	-0.519
2694	LOC65121	-0.948	-0.717	0.444	-0.4	-0.261
2695		-1.41	-1.162	-0.325	-0.736	-0.354
2696		-1.298	-1.304	-0.532	-0.881	-0.662
2697	IGSF4	0.292	0.094	0.136	-0.192	-0.212
2698	ANKH	0.164	-0.175	-0.205	-0.275	-0.331
2699	CCT4	-0.023	-0.218	-0.026	-0.03	-0.062
2700		-0.626	-0.636	-0.425	-0.405	-0.63
2701		-1.04	-0.803	-0.632	0.101	-0.64
2702		-0.364	-0.306	-0.328	-0.172	-0.117
2703	ALDH6A1	0.048	-0.493	-0.278	-0.115	-0.072
2704	SAP18	0.097	-0.034	-0.074	-0.175	-0.274
2705		-0.262	-0.052	-0.118	-0.01	0.091
2706	CLEC2	-0.121	-0.076	-0.171	0.128	0.009
2707	DEPP	-0.053	-0.014	0.01	-0.217	0.25
2708		0.189	0.168	0.313	0.089	-0.013
2709	HCN3	-0.006	-0.121	-0.184	-0.091	0.068
2710	FLJ10035	0.088	0.03	0.019	0.041	0.246
2711	NFAT5	-0.192	-0.168	0.139	-0.062	-0.148
2712		0.06	-0.129	0.06	-0.054	0.167
2713		-0.067	0.081	0.149	0.253	-0.005
2714	GYPA	-0.114	0.125	-0.066	0.027	-0.255
2715	FLII	-0.201	-0.162	0.051	0.107	-0.013
2716		0.226	0.551	0.33	0.4	0.265
2717	CAMLG	-0.096	-0.002	0.055	0.24	-0.006
2718	GLIPR	0.063	0.243	0.161	0.211	0.301
2719	FLJ22029	-0.22	-0.131	-0.288	-0.176	-0.632
2720		-0.884	0.027	0.224	0.779	0.346
2721		-0.441	-0.228	0.006	-0.136	-0.089
2722		-0.318	-0.374	-0.131	-0.237	0.055
2723		-0.016	0.017	0.112	-0.191	0.268
2724	KIAA1456	-0.175	-0.239	-0.145	-0.493	-0.056
2725	HESX1	-0.293	-0.676	-0.226	-0.365	-0.367
2726		-0.155	-0.176	0.136	-0.007	0.094
2727		-0.098	-0.375	-0.006	-0.294	0.043
2728	MAP2K1	-0.277	-0.206	0.008	-0.03	-0.216
2729	SYAP1	0.301	0.279	0.366	0.391	0.458
2730		-0.047	-0.06	0.19	0.249	0.28
2731		-0.233	-0.237	0.059	-0.31	-0.101
2732	GTF2E2	0.068	0.147	0.069	0.131	0.049
2733	CA7	-0.377	-0.118	-0.027	0.093	0.26
2734	ODZ2	-0.355	-0.163	-0.041	0.143	-0.032
2735	FMO1	0.184	0.357	0.196	0.141	-0.047
2736	VIM	0.106	0.132	0.111	0.094	0.247
2737	SOX4	0.496	0.489	1.062	1.759	1.34
2738	E2F1	-0.138	-0.064	-0.521	-1.065	-0.69
2739	PTGS1	0.1	0.246	0.194	0.349	0.247
2740	OCA2	-0.353	-0.374	0.172	-0.261	-0.351
2741	ATR	0.328	0.192	0.02	0.106	0.03
2742	KISS1	-0.759	-0.491	0.015	-0.159	-0.166
2743	RAB1A	-0.064	-0.499	-0.196	-0.222	0.077
2744	KIAA0574	-0.083	-0.079	0.023	-0.13	0.038
2745	AQR	0.287	0.451	0.422	0.409	0.342
2746	FBP17	-0.027	-0.477	-0.533	0.108	0.379
2747	ZNF387	-0.211	-0.586	-0.496	-0.224	0.016
2748	MGA	0.14	0.012	0.054	0.101	-0.012
2749		0.094	0.031	0.075	-0.044	0.052
2750		-0.277	-0.431	-0.1	-0.154	0.044
2751		0.286	0.41	0.557	0.217	0.95
2752		-0.412	-0.23	0.02	0.098	-0.004
2753		-0.079	-0.02	-0.284	-0.187	-0.081
2754	FLJ10483	0.194	0.451	0.086	0.166	-0.385
2755	FLJ21610	0.234	0.237	0.026	0.189	-0.149
2756	SDK1	-0.056	0.147	0.224	0.187	0.233
2757		0.195	-0.133	-0.106	-0.001	0.194
2758		0.034	0.19	-0.073	0.127	-0.053
2759		-0.843	-0.172	-0.468	-0.26	-0.226
2760	GPR72	0.105	0.085	0.111	0.093	0.198
2761	SLC11A3	0.029	-0.367	-0.597	0.003	-0.267
2762		-0.04	-0.21	0.2	0.193	-0.015
2763	DKFZP434B168	0.083	-0.119	0.021	0.039	-0.044
2764	GNA13	0.144	-0.29	0.248	0.256	0.091
2765		-0.385	3.551	-0.414	0.043	0.01
2766	KIAA1862	-0.02	0	-0.079	0.046	0.173
2767	KIAA1831	-0.028	-0.113	0.001	0.009	-0.017
2768	KIAA1673	0.224	0.135	0.775	0.666	0.502
2769		-0.125	-0.062	0.123	0.029	-0.033
2770	KIAA1025	0.16	0.068	0.277	0.427	0.18
2771		0.055	0.189	-0.217	-0.142	-0.267
2772	DKFZp313A2432	0.352	0.591	0.293	0.525	-0.093
2773	NCUBE1	0.119	0.266	0.132	0.493	0.183
2774	PIAS1	0.066	0.132	-0.263	0.137	-0.03
2775		-0.383	0.003	-0.113	0.148	0.064
2776		0.042	-0.325	-0.07	-0.01	0.27
2777	DSCR5	-0.061	-0.07	-0.127	0.263	0.08
2778	NY-REN-41	-0.014	-0.173	0.141	0.141	-0.135
2779		0.03	-0.126	-0.07	-0.006	0.129
2780	LOC90799	0.047	0.117	0.14	0.084	0.091
2781	SSBP2	-0.327	-0.074	0.022	0.032	0.004
2782		-0.162	-0.012	0.224	0.153	-0.053
2783	CD4	-0.158	-0.179	0.014	0.319	-0.076
2784	KIAA1917	-0.464	-0.023	-0.034	0.015	-0.299
2785		-1.547	-1.184	-0.773	-0.945	-1.557
2786		-1.611	-1.275	-1.049	-1.103	-0.992
2787	HIF3A	-1.007	-1.424	-0.643	-0.792	-1.007
2788		-0.066	-0.124	-0.232	-0.214	-0.383
2789		-0.679	-0.312	-0.258	-0.503	-0.171
2790		0.095	0.4	0.43	0.171	0.17
2791	KIAA0980	0.038	-0.003	-0.067	-0.174	0.082
2792	NDRG3	0.313	0.274	0.106	0.044	0.114
2793		-0.3	-0.172	-0.116	-0.256	0.017
2794		0.184	0.061	0.395	0.204	0.306
2795		0.142	-0.213	-0.041	-0.094	-0.14
2796	C9orf5	-0.047	0.068	-0.339	-0.05	-0.355
2797	HPRT1	0.039	0.179	0.192	0.381	-0.035
2798	EREG	-0.281	-0.252	-0.042	0.101	0.044
2799	SLC22A4	-0.124	-0.296	-0.133	-0.044	-0.103
2800	BNIP2	-0.02	0.049	0.23	0.778	0.021
2801	PODXL	0.398	-0.03	-0.161	-0.153	0.475
2802	EPHX1	0.22	0.093	0.207	0.259	0.354
2803	NPM1	-0.222	-0.041	-0.114	-0.403	0.338
2804	DRIL1	0.074	0.164	0.006	0.076	0.239
2805	DNM1L	0.283	0.35	0.386	0.474	0.312
2806	ITPR1	-0.092	-0.222	-0.02	0.067	-0.037
2807	ESRRA	0.023	0.321	-0.066	-0.131	0.139
2808	NFKBIB	0.081	0.298	0.462	0.348	0.577
2809	GOCAP1	0.302	0.324	0.455	0.745	0.387
2810	ATM	0.055	0.144	0.058	-0.011	-0.213
2811	PIK3CD	-0.021	-0.169	0.242	0.194	0.254
2812	SPPL2B	0.005	-0.273	-0.236	-0.592	0.19
2813	SEPW1	-0.09	-0.094	0.261	0.059	0.499
2814	PNOC	-0.569	-0.265	0.143	-0.162	0.119
2815	CR2	-0.284	0.082	0.228	0.035	0.083
2816	HOXB13	-0.086	-0.293	1.682	1.273	0.842
2817	MEP1A	-0.576	-0.155	0.013	0.02	0.168
2818	MUC5B	-0.248	-0.001	0.215	0.153	0.179
2819	U5-100K	0.641	0.848	0.344	0.13	0.417
2820	PC	0.034	0.221	0.209	0.372	0.05
2821		-0.341	-0.395	-0.117	-0.168	-0.056
2822	RAI	0.13	0.078	0.109	0.065	0.263
2823	MGC20481	0.188	0.084	0.092	0.234	0.171
2824		-0.222	-0.189	-0.125	0.08	-0.033
2825	C22orf3	-0.038	-0.157	-0.191	-0.52	0.034
2826		0.332	0.174	0.122	0.125	0.263
2827	MGC11257	-0.032	0.258	-0.125	-0.563	-0.223
2828	MGC4248	-0.282	-0.3	-0.039	0.01	-0.177
2829		-0.556	-0.395	0	-0.004	-0.239
2830	MAF	-0.773	-0.428	0.032	0.338	0.197
2831		-0.761	-0.483	-0.112	-0.361	-0.238
2832		-0.731	-0.34	-0.337	-0.194	-0.087
2833	FLJ39075	0.035	0.011	0.134	-0.215	0.113
2834	MGC30022	0.4	0.454	0.807	-0.356	0.425
2835		0.081	-0.022	0.066	0.026	0.169
2836	FLJ11082	0.09	0.018	0.012	-0.157	0.22
2837		-0.24	-0.078	-0.357	-0.407	-0.175
2838	POLK	-0.067	0.091	-0.026	0.169	-0.1
2839	MGC4126	0.169	-0.147	0.267	-0.307	0.097
2840	PRO2405	-0.587	-0.025	-0.17	0.045	0.273
2841	RRN3	0.22	0.245	0.136	0.092	0.336
2842		-0.055	-0.218	-0.004	-0.286	0.221
2843	PRex1	-0.183	-0.206	0.045	-0.06	0.09
2844		0.084	0.326	0.065	0.067	-0.057
2845	CDK7	0.217	0.05	-0.793	-0.861	-1.506
2846	THY1	-0.191	0.063	0.185	0.35	0.08
2847	FXYD3	0.486	0.067	0.041	0.22	0.209
2848	MKI67	0.81	0.161	1.202	2.224	0.838
2849	IGHM	-0.09	-0.228	-0.157	0.245	-0.006
2850	FOXA1	0.535	0.252	0.484	0.888	0.193
2851	TGFB3	0.097	0.196	0.187	0.224	0.238
2852	ERBB3	0.086	0.263	-0.121	-0.293	0.062
2853	E2F1	-0.003	0.221	-0.321	-0.899	-0.573
2854	FOS	0.263	0.812	-0.067	1.273	0.073
2855	CD47	0.2	0.447	0.325	0.577	0.32
2856	MCM5	0.38	0.597	0.236	-0.662	-0.697
2857		-0.583	1.467	3.982	1.069	1.263
2858						
2859			2.332	3.248		
2860		-1.366				1.07
2861			1.847	2.907		
2862						0.65
2863				1.696	2.728	
2864				1.766		0.476
2865						-1.164
2866		1.184	-1.031	1.322		0.594
2867						1.196
2868		0.492	0.104	1.751	-1.05	0.386
2869		-0.244	-0.682	0.186	0.396	-0.116
2870		-0.094	0.024	0.085	-0.115	0.058
2871		-0.249	-0.233	0.074	-0.187	-0.344
2872		-0.034	-0.234	0.253	0.232	-0.14
2873		-0.432	-0.303	0.288	0.134	0.018
2874		-0.335	-0.082	-0.003	0.124	-0.143
2875		-0.221	-0.291	0.175	0.619	0.016
2876		-0.059	-0.141	-0.041	-0.023	-0.105
2877		-0.262	-0.277	0.01	0.398	0.356
2878		-0.501	-0.162	0.171	0.08	0.025
2879	DCLRE1C	0.153	-0.084	0.364	0.704	0.161
2880	FLJ10392	0.024	0.202	0.132	0.23	0.089
2881		0.166	0.384	0.214	0.326	-0.106
2882	JRKL	0.12	0.196	0.512	0.549	0.669
2883		-0.264	-0.133	0.083	0.062	0.063
2884	RRP40	-0.041	-0.285	0.097	0.422	-0.321
2885		-0.117	0.233	0.15	-0.067	-0.192
2886	LOC83468	0.173		1.605	1.241	-0.441
2887	DDO	-0.36	0.187	0.13	0.144	-0.096
2888		0.112	0.159	0.028	0.138	-0.23
2889		0.015	0.012	0.049	0.212	-0.095
2890		-0.656	-0.36	0.048	0.446	0.076
2891		-0.227	-0.306	0.193	-1.257	-0.248
2892	AP2A1	-0.329	0.013	0.111	-0.846	-0.017
2893	MAP3K7IP2	-0.121	-0.28	0.088	-0.929	0.056
2894		-0.233	-0.005	0.07	-0.397	-0.026
2895		-0.128	-0.109	0.058	-0.354	0.124
2896		-0.309	-0.066	0.05	0.289	-0.082
2897	DJ465N24.2.1	0.216	-0.348	0.576	0.494	0.253
2898		-0.734	-0.824	-0.31	-0.463	-0.496
2899		-0.656	0.092	0.309	0.17	0.067
2900		-0.048	0.191	0.461	-0.157	0.282
2901		-0.363	0.007	0.187	0.069	-0.056
2902		-0.573	-0.145	0.057	0.045	-0.129
2903		-0.113	-0.118	-0.016	-0.264	-0.197
2904		-0.161	-0.006	0.087	0.107	-0.033
2905		-0.22	-0.198	-0.022	-0.023	-0.033
2906		-0.003	-0.285	0.465	0.884	-0.413
2907		-0.436	-0.308	-0.124	0.13	-0.26
2908		-0.809	-0.434	0.185	0.386	-0.173
2909		-0.621	-0.366	0.088	0	-0.217
2910		0.32	0.664	0.594	0.217	-0.349
2911		-0.268	-0.136	-0.005	-0.151	0.119
2912	HMGCL	0.168	0.055	0.023	0.195	0.253
2913	CA1	0.118	0.084	0.18	0.179	-0.237
2914	EVX1	-0.29	0.141	0.028	-0.217	0.17
2915		-0.316	-0.059	0.019	-0.124	-0.101
2916		0.178	0.313	0.29	0.185	-0.026
2917		0.017	-0.12	0.105	-0.068	-0.036
2918		-0.128	-0.247	0.152	-0.237	0.021
2919		-0.109	0.005	0.371	0.075	-0.157
2920		-0.846	-0.16	1.045	-0.282	-0.072
2921		0.119	-0.003	0.89	0.07	-0.132
2922		0.091	0.27	0.597	0.944	-0.796
2923		0.351	0.31	0.45	0.336	0.531
2924		-0.085	-0.048	0.153	-0.118	0.112
2925		-0.777	-0.23	0.256	0.163	0.032
2926	LMAN1	-0.098	-0.005	-0.126	-0.062	0.074
2927		-0.151	-0.235	-0.078	-0.024	-0.045
2928	FOXA1	0.04	0.451	0.07	0.3	-0.392
2929		-0.407	0.157	-0.021	-0.123	-0.413
2930		0.057	0.41	0.381	0.143	-0.054
2931		0.195	0.262	0.394	0.618	0.583
2932		-0.234	0.11	0.024	0.246	-0.055
2933	FLJ38819	-0.185	0.512	-0.002	0.186	-0.016
2934		0.166	0.435	0.419	0.494	0.115
2935	FLJ38819	0.052	0.127	0.412	0.417	0.102
2936	CLASP2	-0.703	1.233	1.241	1.864	-0.422
2937	SHAPY	0.147	0.105	-0.06	0.27	0.042
2938	MUC13	-0.097	-0.106	0.226	0.663	0.942
2939	CHRNA7	-0.077	0.265	-0.004	0.302	-0.042
2940		-0.338	0.104	0.182	0.037	-0.039
2941		-0.762	-0.299	0.72	0.175	-0.869
2942		-0.26	0.162	0.66	0.442	0.184
2943		-0.448	-0.385	-0.08	0.06	-0.543
2944	GRINA	-0.628	-0.248	0.657	0.011	-0.349
2945		-1.084	-0.377	0.118	0.135	-0.198
2946	RLN1	-0.366	-0.267	0.379	0.381	-0.195
2947	DKFZP434A1315	0.017	0.138	0.357	0.676	0.073
2948	CLSP	-0.359	-0.104	0.243	-0.181	-0.132
2949		-0.409	0.048	0.166	-0.303	-0.019
2950		-0.196	0.172	0.274	0.19	0.339
2951		0.261	0.174	0.247	0.497	0.046
2952		-0.402	0.651	0.179	0.002	-0.11
2953		-0.148	-0.031	-0.306	-0.018	-0.029
2954	CCKBR	-0.717	0.789	0.113	0.174	-0.426
2955		-0.197	-0.093	-0.014	0.098	-0.08
2956		-0.464	0.039	0.11	-0.034	-0.083
2957		0.459	0.878	0.692	0.913	0.419
2958		-0.08	0.683	0.314	0.371	-0.018
2959		-0.1	0.604	0.135	0.015	-0.066
2960		-0.171	0.96	-0.056	0.267	-0.084
2961		-0.121	0.811	-0.064	0.047	0.101
2962		0.036	0.551	0.289	0.234	0.013
2963		-0.106	0.83	0.294	0.049	-0.206
2964		-0.127	1.862	-0.037	0.56	0.089
2965		0.307	0.117	0.069	0.504	0.411
2966		0.134	0.431	0.258	0.064	0.069
2967		0.243	0.858	0.327	0.512	0.371
2968	ARL7	-0.044	0.635	0.2	0.202	0.031
2969		-0.318	0.517	0.053	0.358	-0.168
2970	ARL7	0.315	0.379	0.179	0.675	0.57
2971		-0.004	-0.092	-0.36	-0.223	0.181
2972		-0.52	0.616	0.381	0.632	0.082
2973		-0.112	0.745	0.456	-0.169	0.016
2974		-0.278	-1.095	0.316	0.389	-0.148
2975		-0.39	-0.395	0.335	0.362	-0.081
2976		0.052	0.588	0.391	0.136	0.278
2977	FBXO29	-0.171	0.4	-0.059	0.128	-0.23
2978		-0.13	0.871	0.279	0.055	0.1
2979		-0.013	0.787	0.129	-0.209	-0.059
2980		-0.278	0.356	0.028	-0.371	-0.28
